350511450751500289,harushinono,738105
460475830972317730,hadoka12,31
663979552715833354,sairen0657,35000
571217033287565313,okipullup4915,20000
802470136761548810,minhnonhand,1039932
382865290838409217,cominfiniti,29422
906456588519342101,schizun,15264
567257977120096266,nguyenxuanmacvu,168300
997834693259038731,krsmvn,316569
881376666880987209,nblueholic,176539
598393331998785548,omitako,28000
545569377739866125,ong_but123,65931
861654796447514644,interventionguitarist,140000
863200243851591701,bamboorue,20000
604335691396153370,caokk0810,20000
1189959117461278765,duongvu21,30000
542581289962962964,manh.,120000
